symbol,date,open,high,low,close,volume,adjusted
AAPL,2000-03-20,1.102679,1.127232,1.092634,1.098214,204489600,0.94157
AAPL,2000-03-21,1.094308,1.220982,1.085938,1.204799,524328000,1.032953
AAPL,2000-03-22,1.185547,1.289063,1.174665,1.287388,567996800,1.103762
AAPL,2000-03-23,1.267857,1.342634,1.25,1.261719,562564800,1.081754
AAPL,2000-03-24,1.271763,1.285156,1.209821,1.238281,446913600,1.061659
AAPL,2000-03-27,1.228795,1.292411,1.222098,1.246094,279182400,1.068358
AAPL,2000-03-28,1.225446,1.267857,1.22433,1.242188,202966400,1.065009
AAPL,2000-03-29,1.24442,1.244978,1.194894,1.213728,239836800,1.040608
AAPL,2000-03-30,1.192522,1.229353,1.119978,1.122768,414400000,0.962622
AAPL,2000-03-31,1.137835,1.225446,1.125,1.212612,404633600,1.039651
AAPL,2000-04-03,1.209821,1.245536,1.155692,1.19029,328563200,1.020513
AAPL,2000-04-04,1.184152,1.1875,1.042411,1.136719,660329600,0.974583
AAPL,2000-04-05,1.129185,1.186384,1.107143,1.164063,457665600,0.998027
AAPL,2000-04-06,1.166295,1.200893,1.100446,1.117746,259627200,0.958316
AAPL,2000-04-07,1.136161,1.177455,1.120536,1.176339,242435200,1.008552
AAPL,2000-04-10,1.175781,1.185268,1.113839,1.116071,212262400,0.95688
AAPL,2000-04-11,1.102679,1.114955,1.054129,1.066406,541822400,0.914299
AAPL,2000-04-12,1.0625,1.0625,0.936384,0.975446,941136000,0.836313
AAPL,2000-04-13,0.995536,1.071429,0.96875,1.016183,529827200,0.87124
AAPL,2000-04-14,0.976004,1.053571,0.973214,0.998884,667620800,0.856408
AAPL,2000-04-17,0.977679,1.106585,0.973772,1.106027,409561600,0.948269
AAPL,2000-04-18,1.102679,1.132813,1.065848,1.132813,390924800,0.971234
AAPL,2000-04-19,1.126674,1.162946,1.069196,1.081473,520150400,0.927217
AAPL,2000-04-20,1.104353,1.113839,1.045201,1.061384,722120000,0.909993
AAPL,2000-04-24,1.026786,1.075893,1.024554,1.075893,443620800,0.922433
AAPL,2000-04-25,1.090402,1.149554,1.089844,1.145647,391641600,0.98223799999999994
AAPL,2000-04-26,1.13058,1.142857,1.071429,1.083147,366912000,0.928653
AAPL,2000-04-27,1.046317,1.133929,1.040876,1.131696,326603200,0.970277
AAPL,2000-04-28,1.135045,1.138393,1.083147,1.107701,249580800,0.949704
AAPL,2000-05-01,1.114955,1.117188,1.08817,1.109933,226195200,0.951618
AAPL,2000-05-02,1.100446,1.127232,1.049107,1.052455,236432000,0.902338
AAPL,2000-05-03,1.061942,1.082589,0.996652,1.027344,489798400,0.880809
AAPL,2000-05-04,1.027902,1.029018,0.987165,0.988281,399515200,0.847318
AAPL,2000-05-05,0.989397,1.024554,0.98856,1.010045,284076800,0.865977
AAPL,2000-05-08,1.000837,1.015067,0.982143,0.983259,184900800,0.843012
AAPL,2000-05-09,0.984933,0.993304,0.936384,0.941406,327140800,0.807129
AAPL,2000-05-10,0.929129,0.9375,0.881696,0.886719,535091200,0.760242
AAPL,2000-05-11,0.905134,0.930804,0.883929,0.917969,499744000,0.787035
AAPL,2000-05-12,0.946429,0.986607,0.935407,0.960938,306913600,0.823875
AAPL,2000-05-15,0.964844,0.964844,0.893973,0.901786,678932800,0.77316
AAPL,2000-05-16,0.933175,0.973772,0.917411,0.943638,440451200,0.809042
AAPL,2000-05-17,0.925223,0.925781,0.896205,0.905134,398092800,0.77603
AAPL,2000-05-18,0.919643,0.936942,0.898438,0.899554,373777600,0.771246
AAPL,2000-05-19,0.886161,0.886161,0.833705,0.839286,740667200,0.719575
AAPL,2000-05-22,0.837054,0.837054,0.767857,0.803013,755507200,0.688475
AAPL,2000-05-23,0.808036,0.833705,0.764509,0.766183,517585600,0.656898
AAPL,2000-05-24,0.769531,0.801339,0.741071,0.782924,678462400,0.671252
AAPL,2000-05-25,0.790179,0.827288,0.767857,0.779157,406750400,0.668022
AAPL,2000-05-26,0.785714,0.802455,0.761161,0.771205,181148800,0.661204
AAPL,2000-05-30,0.782366,0.78683,0.729911,0.781808,713059200,0.670295
AAPL,2000-05-31,0.77567,0.814732,0.748326,0.75,433507200,0.643024
AAPL,2000-06-01,0.729911,0.799665,0.717634,0.795759,903840000,0.682256
AAPL,2000-06-02,0.837054,0.890625,0.794643,0.826451,792848000,0.70857
AAPL,2000-06-05,0.833147,0.850446,0.800781,0.81529,323668800,0.699001
AAPL,2000-06-06,0.82115,0.863839,0.806362,0.829241,525481600,0.710962
AAPL,2000-06-07,0.835938,0.866071,0.81808,0.862165,337019200,0.73919
AAPL,2000-06-08,0.871652,0.879464,0.831473,0.84654,238526400,0.725794
AAPL,2000-06-09,0.863839,0.874442,0.842634,0.854911,252358400,0.732971
AAPL,2000-06-12,0.860491,0.861049,0.811384,0.814174,290337600,0.698044
AAPL,2000-06-13,0.814174,0.845424,0.787388,0.84375,351456000,0.723402
AAPL,2000-06-14,0.845424,0.859375,0.804688,0.807478,277446400,0.692304
AAPL,2000-06-15,0.814732,0.833705,0.794643,0.824777,248572800,0.707135
AAPL,2000-06-16,0.834821,0.837054,0.795201,0.814174,303564800,0.698044
AAPL,2000-06-19,0.808594,0.873884,0.801897,0.862723,394004800,0.739669
AAPL,2000-06-20,0.879464,0.928013,0.878348,0.904018,501390400,0.775073
AAPL,2000-06-21,0.901786,1.016741,0.898438,0.993304,490000000,0.851624
